"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/25/2019,"12:30 pm","3:30 pm","Mercury  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Phoenix Mercury",05/25/2019,"3:00 pm","6:00 pm",true,05/25/2019,"9:30 am","12:30 pm"
05/31/2019,"7:00 pm","10:00 pm","Aces  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Las Vegas Aces",05/31/2019,"9:30 pm","12:30 am",true,05/31/2019,"4:00 pm","7:00 pm"
06/06/2019,"5:00 pm","8:00 pm","Mercury  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Phoenix Mercury",06/06/2019,"7:30 pm","10:30 pm",true,06/06/2019,"2:00 pm","5:00 pm"
06/09/2019,"1:00 pm","4:00 pm","Mercury  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Phoenix Mercury",06/09/2019,"3:30 pm","6:30 pm",true,06/09/2019,"10:00 am","1:00 pm"
06/11/2019,"5:00 pm","8:00 pm","Mercury  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Phoenix Mercury",06/11/2019,"7:30 pm","10:30 pm",true,06/11/2019,"2:00 pm","5:00 pm"
06/14/2019,"7:00 pm","10:00 pm","Sparks  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Los Angeles Sparks",06/14/2019,"9:30 pm","12:30 am",true,06/14/2019,"4:00 pm","7:00 pm"
06/20/2019,"5:00 pm","8:00 pm","Mercury  @ Wings","College Park Center","Regular Season - Dallas Wings vs Phoenix Mercury",06/20/2019,"7:30 pm","10:30 pm",true,06/20/2019,"2:00 pm","5:00 pm"
06/23/2019,"3:00 pm","6:00 pm","Sparks  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Los Angeles Sparks",06/23/2019,"5:30 pm","8:30 pm",true,06/23/2019,"12:00 pm","3:00 pm"
06/28/2019,"7:00 pm","10:00 pm","Fever  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Indiana Fever",06/28/2019,"9:30 pm","12:30 am",true,06/28/2019,"4:00 pm","7:00 pm"
06/30/2019,"4:00 pm","7:00 pm","Mercury  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Phoenix Mercury",06/30/2019,"6:30 pm","9:30 pm",true,06/30/2019,"1:00 pm","4:00 pm"
07/05/2019,"7:00 pm","10:00 pm","Liberty  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs New York Liberty",07/05/2019,"9:30 pm","12:30 am",true,07/05/2019,"4:00 pm","7:00 pm"
07/07/2019,"3:00 pm","6:00 pm","Dream  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Atlanta Dream",07/07/2019,"5:30 pm","8:30 pm",true,07/07/2019,"12:00 pm","3:00 pm"
07/10/2019,"8:30 am","11:30 am","Mercury  @ Mystics","Capital One Arena","Regular Season - Washington Mystics vs Phoenix Mercury",07/10/2019,"11:00 am","2:00 pm",true,07/10/2019,"5:30 am","8:30 am"
