"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/26/2019,"5:00 pm","8:00 pm","Sparks  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Los Angeles Sparks",05/26/2019,"7:30 pm","10:30 pm",true,05/26/2019,"2:00 pm","5:00 pm"
05/31/2019,"7:00 pm","10:00 pm","Aces  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Las Vegas Aces",05/31/2019,"9:30 pm","12:30 am",true,05/31/2019,"4:00 pm","7:00 pm"
06/02/2019,"3:00 pm","6:00 pm","Sun  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Connecticut Sun",06/02/2019,"5:30 pm","8:30 pm",true,06/02/2019,"12:00 pm","3:00 pm"
06/06/2019,"4:00 pm","7:00 pm","Aces  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Las Vegas Aces",06/06/2019,"6:30 pm","9:30 pm",true,06/06/2019,"1:00 pm","4:00 pm"
06/09/2019,"12:00 pm","3:00 pm","Aces  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Las Vegas Aces",06/09/2019,"2:30 pm","5:30 pm",true,06/09/2019,"9:00 am","12:00 pm"
06/14/2019,"7:30 pm","10:30 pm","Liberty  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs New York Liberty",06/14/2019,"10:00 pm","1:00 am",true,06/14/2019,"4:30 pm","7:30 pm"
06/16/2019,"4:00 pm","7:00 pm","Aces  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Las Vegas Aces",06/16/2019,"6:30 pm","9:30 pm",true,06/16/2019,"1:00 pm","4:00 pm"
06/20/2019,"7:00 pm","10:00 pm","Mystics  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Washington Mystics",06/20/2019,"9:30 pm","12:30 am",true,06/20/2019,"4:00 pm","7:00 pm"
06/22/2019,"7:30 pm","10:30 pm","Wings  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Dallas Wings",06/22/2019,"10:00 pm","1:00 am",true,06/22/2019,"4:30 pm","7:30 pm"
06/25/2019,"7:00 pm","10:00 pm","Storm  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Seattle Storm",06/25/2019,"9:30 pm","12:30 am",true,06/25/2019,"4:00 pm","7:00 pm"
06/27/2019,"7:30 pm","10:30 pm","Aces  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Las Vegas Aces",06/27/2019,"10:00 pm","1:00 am",true,06/27/2019,"4:30 pm","7:30 pm"
06/29/2019,"7:30 pm","10:30 pm","Fever  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Indiana Fever",06/29/2019,"10:00 pm","1:00 am",true,06/29/2019,"4:30 pm","7:30 pm"
07/02/2019,"12:00 pm","3:00 pm","Sky  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Chicago Sky",07/02/2019,"2:30 pm","5:30 pm",true,07/02/2019,"9:00 am","12:00 pm"
07/05/2019,"7:30 pm","10:30 pm","Mystics  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Washington Mystics",07/05/2019,"10:00 pm","1:00 am",true,07/05/2019,"4:30 pm","7:30 pm"
07/07/2019,"12:00 pm","3:00 pm","Aces  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Las Vegas Aces",07/07/2019,"2:30 pm","5:30 pm",true,07/07/2019,"9:00 am","12:00 pm"
07/10/2019,"9:00 am","12:00 pm","Aces  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Las Vegas Aces",07/10/2019,"11:30 am","2:30 pm",true,07/10/2019,"6:00 am","9:00 am"
07/13/2019,"4:00 pm","7:00 pm","Aces  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Las Vegas Aces",07/13/2019,"6:30 pm","9:30 pm",true,07/13/2019,"1:00 pm","4:00 pm"
07/19/2019,"7:00 pm","10:00 pm","Aces  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Las Vegas Aces",07/19/2019,"9:30 pm","12:30 am",true,07/19/2019,"4:00 pm","7:00 pm"
07/21/2019,"3:00 pm","6:00 pm","Lynx  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Minnesota Lynx",07/21/2019,"5:30 pm","8:30 pm",true,07/21/2019,"12:00 pm","3:00 pm"
07/23/2019,"7:00 pm","10:00 pm","Storm  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Seattle Storm",07/23/2019,"9:30 pm","12:30 am",true,07/23/2019,"4:00 pm","7:00 pm"
07/30/2019,"7:00 pm","10:00 pm","Wings  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Dallas Wings",07/30/2019,"9:30 pm","12:30 am",true,07/30/2019,"4:00 pm","7:00 pm"
08/01/2019,"7:00 pm","10:00 pm","Aces  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Las Vegas Aces",08/01/2019,"9:30 pm","12:30 am",true,08/01/2019,"4:00 pm","7:00 pm"
08/03/2019,"5:00 pm","8:00 pm","Aces  @ Wings","College Park Center","Regular Season - Dallas Wings vs Las Vegas Aces",08/03/2019,"7:30 pm","10:30 pm",true,08/03/2019,"2:00 pm","5:00 pm"
08/09/2019,"7:30 pm","10:30 pm","Sky  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Chicago Sky",08/09/2019,"10:00 pm","1:00 am",true,08/09/2019,"4:30 pm","7:30 pm"
08/11/2019,"3:00 pm","6:00 pm","Sun  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Connecticut Sun",08/11/2019,"5:30 pm","8:30 pm",true,08/11/2019,"12:00 pm","3:00 pm"
08/13/2019,"7:00 pm","10:00 pm","Dream  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Atlanta Dream",08/13/2019,"9:30 pm","12:30 am",true,08/13/2019,"4:00 pm","7:00 pm"
08/18/2019,"3:00 pm","6:00 pm","Aces  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Las Vegas Aces",08/18/2019,"5:30 pm","8:30 pm",true,08/18/2019,"12:00 pm","3:00 pm"
08/20/2019,"7:00 pm","10:00 pm","Mercury  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Phoenix Mercury",08/20/2019,"9:30 pm","12:30 am",true,08/20/2019,"4:00 pm","7:00 pm"
08/23/2019,"4:30 pm","7:30 pm","Aces  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Las Vegas Aces",08/23/2019,"7:00 pm","10:00 pm",true,08/23/2019,"1:30 pm","4:30 pm"
08/25/2019,"4:00 pm","7:00 pm","Aces  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Las Vegas Aces",08/25/2019,"6:30 pm","9:30 pm",true,08/25/2019,"1:00 pm","4:00 pm"
08/27/2019,"4:00 pm","7:00 pm","Aces  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Las Vegas Aces",08/27/2019,"6:30 pm","9:30 pm",true,08/27/2019,"1:00 pm","4:00 pm"
08/31/2019,"7:30 pm","10:30 pm","Sparks  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Los Angeles Sparks",08/31/2019,"10:00 pm","1:00 am",true,08/31/2019,"4:30 pm","7:30 pm"
09/05/2019,"4:00 pm","7:00 pm","Aces  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Las Vegas Aces",09/05/2019,"6:30 pm","9:30 pm",true,09/05/2019,"1:00 pm","4:00 pm"
09/08/2019,"1:00 pm","4:00 pm","Aces  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Las Vegas Aces",09/08/2019,"3:30 pm","6:30 pm",true,09/08/2019,"10:00 am","1:00 pm"
