"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/24/2019,"7:30 pm","7:30 pm","Wings  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Dallas Wings",05/24/2019,"10:00 pm","10:00 pm",true,05/24/2019,"4:30 pm","4:30 pm"
05/31/2019,"7:30 pm","7:30 pm","Storm  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Seattle Storm",05/31/2019,"10:00 pm","10:00 pm",true,05/31/2019,"4:30 pm","4:30 pm"
06/01/2019,"7:00 pm","7:00 pm","Dream  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Atlanta Dream",06/01/2019,"9:30 pm","9:30 pm",true,06/01/2019,"4:00 pm","4:00 pm"
06/06/2019,"7:00 pm","7:00 pm","Aces  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Las Vegas Aces",06/06/2019,"9:30 pm","9:30 pm",true,06/06/2019,"4:00 pm","4:00 pm"
06/09/2019,"3:00 pm","3:00 pm","Sun  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Connecticut Sun",06/09/2019,"5:30 pm","5:30 pm",true,06/09/2019,"12:00 pm","12:00 pm"
06/15/2019,"8:00 pm","8:00 pm","Dream  @ Wings","College Park Center","Regular Season - Dallas Wings vs Atlanta Dream",06/15/2019,"10:30 pm","10:30 pm",true,06/15/2019,"5:00 pm","5:00 pm"
06/19/2019,"11:00 am","11:00 am","Fever  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Indiana Fever",06/19/2019,"1:30 pm","1:30 pm",true,06/19/2019,"8:00 am","8:00 am"
06/21/2019,"7:30 pm","7:30 pm","Dream  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Atlanta Dream",06/21/2019,"10:00 pm","10:00 pm",true,06/21/2019,"4:30 pm","4:30 pm"
06/23/2019,"1:00 pm","1:00 pm","Mystics  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Washington Mystics",06/23/2019,"3:30 pm","3:30 pm",true,06/23/2019,"10:00 am","10:00 am"
06/30/2019,"3:00 pm","3:00 pm","Liberty  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs New York Liberty",06/30/2019,"5:30 pm","5:30 pm",true,06/30/2019,"12:00 pm","12:00 pm"
07/02/2019,"8:00 pm","8:00 pm","Dream  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Atlanta Dream",07/02/2019,"10:30 pm","10:30 pm",true,07/02/2019,"5:00 pm","5:00 pm"
