"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/24/2019,"7:30 pm","7:30 pm","Fever  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Indiana Fever",05/24/2019,"10:00 pm","10:00 pm",true,05/24/2019,"4:30 pm","4:30 pm"
05/28/2019,"7:00 pm","7:00 pm","Fever  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Indiana Fever",05/28/2019,"9:30 pm","9:30 pm",true,05/28/2019,"4:00 pm","4:00 pm"
06/01/2019,"7:00 pm","7:00 pm","Liberty  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs New York Liberty",06/01/2019,"9:30 pm","9:30 pm",true,06/01/2019,"4:00 pm","4:00 pm"
06/07/2019,"7:00 pm","7:00 pm","Wings  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Dallas Wings",06/07/2019,"9:30 pm","9:30 pm",true,06/07/2019,"4:00 pm","4:00 pm"
06/09/2019,"4:00 pm","4:00 pm","Mercury  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Phoenix Mercury",06/09/2019,"6:30 pm","6:30 pm",true,06/09/2019,"1:00 pm","1:00 pm"
06/11/2019,"7:00 pm","7:00 pm","Storm  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Seattle Storm",06/11/2019,"9:30 pm","9:30 pm",true,06/11/2019,"4:00 pm","4:00 pm"
06/13/2019,"8:00 pm","8:00 pm","Fever  @ Wings","College Park Center","Regular Season - Dallas Wings vs Indiana Fever",06/13/2019,"10:30 pm","10:30 pm",true,06/13/2019,"5:00 pm","5:00 pm"
06/15/2019,"7:00 pm","7:00 pm","Sky  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Chicago Sky",06/15/2019,"9:30 pm","9:30 pm",true,06/15/2019,"4:00 pm","4:00 pm"
06/19/2019,"11:00 am","11:00 am","Fever  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Indiana Fever",06/19/2019,"1:30 pm","1:30 pm",true,06/19/2019,"8:00 am","8:00 am"
06/21/2019,"8:00 pm","8:00 pm","Fever  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Indiana Fever",06/21/2019,"10:30 pm","10:30 pm",true,06/21/2019,"5:00 pm","5:00 pm"
06/23/2019,"7:00 pm","7:00 pm","Fever  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Indiana Fever",06/23/2019,"9:30 pm","9:30 pm",true,06/23/2019,"4:00 pm","4:00 pm"
06/25/2019,"7:00 pm","7:00 pm","Lynx  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Minnesota Lynx",06/25/2019,"9:30 pm","9:30 pm",true,06/25/2019,"4:00 pm","4:00 pm"
06/28/2019,"10:00 pm","10:00 pm","Fever  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Indiana Fever",06/28/2019,"12:30 am","12:30 am",true,06/28/2019,"7:00 pm","7:00 pm"
06/29/2019,"10:30 pm","10:30 pm","Fever  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Indiana Fever",06/29/2019,"1:00 am","1:00 am",true,06/29/2019,"7:30 pm","7:30 pm"
07/05/2019,"8:00 pm","8:00 pm","Fever  @ Wings","College Park Center","Regular Season - Dallas Wings vs Indiana Fever",07/05/2019,"10:30 pm","10:30 pm",true,07/05/2019,"5:00 pm","5:00 pm"
07/10/2019,"12:00 pm","12:00 pm","Aces  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Las Vegas Aces",07/10/2019,"2:30 pm","2:30 pm",true,07/10/2019,"9:00 am","9:00 am"
07/12/2019,"7:00 pm","7:00 pm","Sparks  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Los Angeles Sparks",07/12/2019,"9:30 pm","9:30 pm",true,07/12/2019,"4:00 pm","4:00 pm"
07/14/2019,"4:00 pm","4:00 pm","Sun  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Connecticut Sun",07/14/2019,"6:30 pm","6:30 pm",true,07/14/2019,"1:00 pm","1:00 pm"
07/19/2019,"7:00 pm","7:00 pm","Mystics  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Washington Mystics",07/19/2019,"9:30 pm","9:30 pm",true,07/19/2019,"4:00 pm","4:00 pm"
07/21/2019,"6:00 pm","6:00 pm","Fever  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Indiana Fever",07/21/2019,"8:30 pm","8:30 pm",true,07/21/2019,"3:00 pm","3:00 pm"
07/23/2019,"10:00 pm","10:00 pm","Fever  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Indiana Fever",07/23/2019,"12:30 am","12:30 am",true,07/23/2019,"7:00 pm","7:00 pm"
07/31/2019,"7:00 pm","7:00 pm","Dream  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Atlanta Dream",07/31/2019,"9:30 pm","9:30 pm",true,07/31/2019,"4:00 pm","4:00 pm"
08/03/2019,"7:00 pm","7:00 pm","Lynx  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Minnesota Lynx",08/03/2019,"9:30 pm","9:30 pm",true,08/03/2019,"4:00 pm","4:00 pm"
08/08/2019,"7:00 pm","7:00 pm","Fever  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Indiana Fever",08/08/2019,"9:30 pm","9:30 pm",true,08/08/2019,"4:00 pm","4:00 pm"
