"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/24/2019,"7:30 pm","7:30 pm","Fever  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Indiana Fever",05/24/2019,"10:00 pm","10:00 pm",true,05/24/2019,"4:30 pm","4:30 pm"
06/01/2019,"7:00 pm","7:00 pm","Liberty  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs New York Liberty",06/01/2019,"9:30 pm","9:30 pm",true,06/01/2019,"4:00 pm","4:00 pm"
06/04/2019,"11:00 am","11:00 am","Sparks  @ Liberty","Arena TBD (NYL)","Regular Season - New York Liberty vs Los Angeles Sparks",06/04/2019,"1:30 pm","1:30 pm",true,06/04/2019,"8:00 am","8:00 am"
06/07/2019,"7:30 pm","7:30 pm","Mystics  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Washington Mystics",06/07/2019,"10:00 pm","10:00 pm",true,06/07/2019,"4:30 pm","4:30 pm"
06/09/2019,"3:00 pm","3:00 pm","Aces  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Las Vegas Aces",06/09/2019,"5:30 pm","5:30 pm",true,06/09/2019,"12:00 pm","12:00 pm"
06/12/2019,"7:00 pm","7:00 pm","Lynx  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Minnesota Lynx",06/12/2019,"9:30 pm","9:30 pm",true,06/12/2019,"4:00 pm","4:00 pm"
06/14/2019,"10:30 pm","10:30 pm","Liberty  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs New York Liberty",06/14/2019,"1:00 am","1:00 am",true,06/14/2019,"7:30 pm","7:30 pm"
06/15/2019,"10:00 pm","10:00 pm","Liberty  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs New York Liberty",06/15/2019,"12:30 am","12:30 am",true,06/15/2019,"7:00 pm","7:00 pm"
06/19/2019,"7:00 pm","7:00 pm","Sky  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Chicago Sky",06/19/2019,"9:30 pm","9:30 pm",true,06/19/2019,"4:00 pm","4:00 pm"
06/22/2019,"8:00 pm","8:00 pm","Liberty  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs New York Liberty",06/22/2019,"10:30 pm","10:30 pm",true,06/22/2019,"5:00 pm","5:00 pm"
06/28/2019,"7:30 pm","7:30 pm","Wings  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Dallas Wings",06/28/2019,"10:00 pm","10:00 pm",true,06/28/2019,"4:30 pm","4:30 pm"
