"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/25/2019,"7:30 pm","7:30 pm","Mystics  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Washington Mystics",05/25/2019,"10:00 pm","10:00 pm",true,05/25/2019,"4:30 pm","4:30 pm"
06/01/2019,"7:00 pm","7:00 pm","Dream  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Atlanta Dream",06/01/2019,"9:30 pm","9:30 pm",true,06/01/2019,"4:00 pm","4:00 pm"
06/05/2019,"7:00 pm","7:00 pm","Sky  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Chicago Sky",06/05/2019,"9:30 pm","9:30 pm",true,06/05/2019,"4:00 pm","4:00 pm"
06/07/2019,"7:30 pm","7:30 pm","Mystics  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Washington Mystics",06/07/2019,"10:00 pm","10:00 pm",true,06/07/2019,"4:30 pm","4:30 pm"
06/09/2019,"3:00 pm","3:00 pm","Wings  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Dallas Wings",06/09/2019,"5:30 pm","5:30 pm",true,06/09/2019,"12:00 pm","12:00 pm"
06/11/2019,"7:00 pm","7:00 pm","Mystics  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Washington Mystics",06/11/2019,"9:30 pm","9:30 pm",true,06/11/2019,"4:00 pm","4:00 pm"
06/14/2019,"7:00 pm","7:00 pm","Storm  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Seattle Storm",06/14/2019,"9:30 pm","9:30 pm",true,06/14/2019,"4:00 pm","4:00 pm"
06/18/2019,"10:30 pm","10:30 pm","Mystics  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Washington Mystics",06/18/2019,"1:00 am","1:00 am",true,06/18/2019,"7:30 pm","7:30 pm"
06/20/2019,"10:00 pm","10:00 pm","Mystics  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Washington Mystics",06/20/2019,"12:30 am","12:30 am",true,06/20/2019,"7:00 pm","7:00 pm"
06/23/2019,"1:00 pm","1:00 pm","Mystics  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Washington Mystics",06/23/2019,"3:30 pm","3:30 pm",true,06/23/2019,"10:00 am","10:00 am"
06/26/2019,"12:00 pm","12:00 pm","Mystics  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Washington Mystics",06/26/2019,"2:30 pm","2:30 pm",true,06/26/2019,"9:00 am","9:00 am"
06/29/2019,"2:00 pm","2:00 pm","Sun  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Connecticut Sun",06/29/2019,"4:30 pm","4:30 pm",true,06/29/2019,"11:00 am","11:00 am"
07/05/2019,"10:30 pm","10:30 pm","Mystics  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Washington Mystics",07/05/2019,"1:00 am","1:00 am",true,07/05/2019,"7:30 pm","7:30 pm"
07/07/2019,"5:00 pm","5:00 pm","Mystics  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Washington Mystics",07/07/2019,"7:30 pm","7:30 pm",true,07/07/2019,"2:00 pm","2:00 pm"
07/10/2019,"11:30 am","11:30 am","Mercury  @ Mystics","Capital One Arena","Regular Season - Washington Mystics vs Phoenix Mercury",07/10/2019,"2:00 pm","2:00 pm",true,07/10/2019,"8:30 am","8:30 am"
07/13/2019,"7:00 pm","7:00 pm","Aces  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Las Vegas Aces",07/13/2019,"9:30 pm","9:30 pm",true,07/13/2019,"4:00 pm","4:00 pm"
07/19/2019,"7:00 pm","7:00 pm","Mystics  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Washington Mystics",07/19/2019,"9:30 pm","9:30 pm",true,07/19/2019,"4:00 pm","4:00 pm"
07/21/2019,"3:00 pm","3:00 pm","Dream  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Atlanta Dream",07/21/2019,"5:30 pm","5:30 pm",true,07/21/2019,"12:00 pm","12:00 pm"
07/24/2019,"1:00 pm","1:00 pm","Mystics  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Washington Mystics",07/24/2019,"3:30 pm","3:30 pm",true,07/24/2019,"10:00 am","10:00 am"
07/30/2019,"7:00 pm","7:00 pm","Mercury  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Phoenix Mercury",07/30/2019,"9:30 pm","9:30 pm",true,07/30/2019,"4:00 pm","4:00 pm"
08/02/2019,"10:00 pm","10:00 pm","Mystics  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Washington Mystics",08/02/2019,"12:30 am","12:30 am",true,08/02/2019,"7:00 pm","7:00 pm"
08/04/2019,"6:00 pm","6:00 pm","Mystics  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Washington Mystics",08/04/2019,"8:30 pm","8:30 pm",true,08/04/2019,"3:00 pm","3:00 pm"
08/08/2019,"7:00 pm","7:00 pm","Fever  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Indiana Fever",08/08/2019,"9:30 pm","9:30 pm",true,08/08/2019,"4:00 pm","4:00 pm"
08/11/2019,"3:00 pm","3:00 pm","Lynx  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Minnesota Lynx",08/11/2019,"5:30 pm","5:30 pm",true,08/11/2019,"12:00 pm","12:00 pm"
08/14/2019,"8:00 pm","8:00 pm","Storm  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Seattle Storm",08/14/2019,"10:30 pm","10:30 pm",true,08/14/2019,"5:00 pm","5:00 pm"
08/16/2019,"8:00 pm","8:00 pm","Mystics  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Washington Mystics",08/16/2019,"10:30 pm","10:30 pm",true,08/16/2019,"5:00 pm","5:00 pm"
08/18/2019,"3:00 pm","3:00 pm","Fever  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Indiana Fever",08/18/2019,"5:30 pm","5:30 pm",true,08/18/2019,"12:00 pm","12:00 pm"
08/23/2019,"8:00 pm","8:00 pm","Mystics  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Washington Mystics",08/23/2019,"10:30 pm","10:30 pm",true,08/23/2019,"5:00 pm","5:00 pm"
08/25/2019,"3:00 pm","3:00 pm","Liberty  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs New York Liberty",08/25/2019,"5:30 pm","5:30 pm",true,08/25/2019,"12:00 pm","12:00 pm"
08/27/2019,"7:00 pm","7:00 pm","Sparks  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Los Angeles Sparks",08/27/2019,"9:30 pm","9:30 pm",true,08/27/2019,"4:00 pm","4:00 pm"
08/31/2019,"8:00 pm","8:00 pm","Mystics  @ Wings","College Park Center","Regular Season - Dallas Wings vs Washington Mystics",08/31/2019,"10:30 pm","10:30 pm",true,08/31/2019,"5:00 pm","5:00 pm"
09/03/2019,"7:00 pm","7:00 pm","Mystics  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Washington Mystics",09/03/2019,"9:30 pm","9:30 pm",true,09/03/2019,"4:00 pm","4:00 pm"
09/06/2019,"7:00 pm","7:00 pm","Wings  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Dallas Wings",09/06/2019,"9:30 pm","9:30 pm",true,09/06/2019,"4:00 pm","4:00 pm"
09/08/2019,"4:00 pm","4:00 pm","Sky  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Chicago Sky",09/08/2019,"6:30 pm","6:30 pm",true,09/08/2019,"1:00 pm","1:00 pm"
