Subject,Start date,Start time,End date, End time,All day event,Location
Sky Blue FC at Washington Spirit,2019-04-13,16:00,2019-04-13,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Chicago Red Stars at North Carolina Courage,2019-04-13,16:00,2019-04-13,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Portland Thorns FC at Orlando Pride,2019-04-14,14:00,2019-04-14,16:00,false,"Orlando City Stadium Orlando, Florida"
Reign FC at Houston Dash,2019-04-14,15:00,2019-04-14,17:00,false,"BBVA Compass Stadium Houston, Texas"
Orlando Pride at North Carolina Courage,2019-04-17,16:00,2019-04-17,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Portland Thorns FC at Chicago Red Stars,2019-04-20,12:30,2019-04-20,14:30,false,"SeatGeek Stadium Bridgeview, Illinois"
Houston Dash at Sky Blue FC,2019-04-20,15:00,2019-04-20,17:00,false,"Yurcak Field Piscataway, New Jersey"
Washington Spirit at Utah Royals FC,2019-04-20,18:00,2019-04-20,20:00,false,"Rio Tinto Stadium Sandy, Utah"
Orlando Pride at Reign FC,2019-04-21,19:00,2019-04-21,21:00,false,"Cheney Stadium Tacoma, Washington"
Utah Royals FC at Orlando Pride,2019-04-27,16:30,2019-04-27,18:30,false,"Orlando City Stadium Orlando, Florida"
Reign FC at Chicago Red Stars,2019-04-27,17:00,2019-04-27,19:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Portland Thorns FC at Sky Blue FC,2019-04-28,15:00,2019-04-28,17:00,false,"Yurcak Field Piscataway, New Jersey"
North Carolina Courage at Houston Dash,2019-04-28,15:00,2019-04-28,17:00,false,"BBVA Compass Stadium Houston, Texas"
Chicago Red Stars at Utah Royals FC,2019-05-03,18:30,2019-05-03,20:30,false,"Rio Tinto Stadium Sandy, Utah"
Reign FC at Washington Spirit,2019-05-04,16:00,2019-05-04,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Sky Blue FC at North Carolina Courage,2019-05-04,16:00,2019-05-04,18:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Orlando Pride at Houston Dash,2019-05-05,15:00,2019-05-05,17:00,false,"BBVA Compass Stadium Houston, Texas"
Washington Spirit at Sky Blue FC,2019-05-11,12:00,2019-05-11,14:00,false,"Yurcak Field Piscataway, New Jersey"
Houston Dash at Utah Royals FC,2019-05-11,12:30,2019-05-11,14:30,false,"Rio Tinto Stadium Sandy, Utah"
Portland Thorns FC at Orlando Pride,2019-05-11,16:30,2019-05-11,18:30,false,"Orlando City Stadium Orlando, Florida"
North Carolina Courage at Chicago Red Stars,2019-05-12,15:00,2019-05-12,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
Sky Blue FC at Reign FC,2019-05-18,13:00,2019-05-18,15:00,false,"Cheney Stadium Tacoma, Washington"
Portland Thorns FC at Washington Spirit,2019-05-18,16:00,2019-05-18,18:00,false,"Maureen Hendricks Field Maryland SoccerPlex Boyds, Maryland"
Utah Royals FC at North Carolina Courage,2019-05-19,14:00,2019-05-19,16:00,false,"Sahlen's Stadium at WakeMed Soccer Park Cary, North Carolina"
Chicago Red Stars at Houston Dash,2019-05-19,15:00,2019-05-19,17:00,false,"BBVA Compass Stadium Houston, Texas"
Portland Thorns FC at Sky Blue FC,2019-05-25,15:00,2019-05-25,17:00,false,"Yurcak Field Piscataway, New Jersey"
Orlando Pride at Utah Royals FC,2019-05-25,17:00,2019-05-25,19:00,false,"Rio Tinto Stadium Sandy, Utah"
Washington Spirit at Chicago Red Stars,2019-05-26,15:00,2019-05-26,17:00,false,"SeatGeek Stadium Bridgeview, Illinois"
North Carolina Courage at Reign FC,2019-05-27,16:00,2019-05-27,18:00,false,"Cheney Stadium Tacoma, Washington"
