"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/26/2019,"5:00 pm","8:00 pm","Sparks  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Los Angeles Sparks",05/26/2019,"7:30 pm","10:30 pm",true,05/26/2019,"2:00 pm","5:00 pm"
05/31/2019,"7:30 pm","10:30 pm","Sun  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Connecticut Sun",05/31/2019,"10:00 pm","1:00 am",true,05/31/2019,"4:30 pm","7:30 pm"
06/04/2019,"8:00 am","11:00 am","Sparks  @ Liberty","Arena TBD (NYL)","Regular Season - New York Liberty vs Los Angeles Sparks",06/04/2019,"10:30 am","1:30 pm",true,06/04/2019,"5:00 am","8:00 am"
06/06/2019,"4:00 pm","7:00 pm","Sparks  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Los Angeles Sparks",06/06/2019,"6:30 pm","9:30 pm",true,06/06/2019,"1:00 pm","4:00 pm"
06/08/2019,"12:30 pm","3:30 pm","Sparks  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Los Angeles Sparks",06/08/2019,"3:00 pm","6:00 pm",true,06/08/2019,"9:30 am","12:30 pm"
06/14/2019,"7:00 pm","10:00 pm","Sparks  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Los Angeles Sparks",06/14/2019,"9:30 pm","12:30 am",true,06/14/2019,"4:00 pm","7:00 pm"
06/15/2019,"7:00 pm","10:00 pm","Liberty  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs New York Liberty",06/15/2019,"9:30 pm","12:30 am",true,06/15/2019,"4:00 pm","7:00 pm"
06/18/2019,"7:30 pm","10:30 pm","Mystics  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Washington Mystics",06/18/2019,"10:00 pm","1:00 am",true,06/18/2019,"4:30 pm","7:30 pm"
06/21/2019,"7:00 pm","10:00 pm","Sparks  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Los Angeles Sparks",06/21/2019,"9:30 pm","12:30 am",true,06/21/2019,"4:00 pm","7:00 pm"
06/23/2019,"3:00 pm","6:00 pm","Sparks  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Los Angeles Sparks",06/23/2019,"5:30 pm","8:30 pm",true,06/23/2019,"12:00 pm","3:00 pm"
06/27/2019,"7:30 pm","10:30 pm","Aces  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Las Vegas Aces",06/27/2019,"10:00 pm","1:00 am",true,06/27/2019,"4:30 pm","7:30 pm"
06/30/2019,"2:00 pm","5:00 pm","Sky  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Chicago Sky",06/30/2019,"4:30 pm","7:30 pm",true,06/30/2019,"11:00 am","2:00 pm"
07/07/2019,"2:00 pm","5:00 pm","Mystics  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Washington Mystics",07/07/2019,"4:30 pm","7:30 pm",true,07/07/2019,"11:00 am","2:00 pm"
07/09/2019,"10:00 am","1:00 pm","Sparks  @ Wings","College Park Center","Regular Season - Dallas Wings vs Los Angeles Sparks",07/09/2019,"12:30 pm","3:30 pm",true,07/09/2019,"7:00 am","10:00 am"
