"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/25/2019,"7:30 pm","7:30 pm","Mystics  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Washington Mystics",05/25/2019,"10:00 pm","10:00 pm",true,05/25/2019,"4:30 pm","4:30 pm"
05/28/2019,"7:00 pm","7:00 pm","Fever  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Indiana Fever",05/28/2019,"9:30 pm","9:30 pm",true,05/28/2019,"4:00 pm","4:00 pm"
05/31/2019,"10:30 pm","10:30 pm","Sun  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Connecticut Sun",05/31/2019,"1:00 am","1:00 am",true,05/31/2019,"7:30 pm","7:30 pm"
06/02/2019,"6:00 pm","6:00 pm","Sun  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Connecticut Sun",06/02/2019,"8:30 pm","8:30 pm",true,06/02/2019,"3:00 pm","3:00 pm"
06/06/2019,"7:00 pm","7:00 pm","Sparks  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Los Angeles Sparks",06/06/2019,"9:30 pm","9:30 pm",true,06/06/2019,"4:00 pm","4:00 pm"
06/09/2019,"3:00 pm","3:00 pm","Sun  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Connecticut Sun",06/09/2019,"5:30 pm","5:30 pm",true,06/09/2019,"12:00 pm","12:00 pm"
06/11/2019,"7:00 pm","7:00 pm","Mystics  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Washington Mystics",06/11/2019,"9:30 pm","9:30 pm",true,06/11/2019,"4:00 pm","4:00 pm"
06/14/2019,"8:00 pm","8:00 pm","Sun  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Connecticut Sun",06/14/2019,"10:30 pm","10:30 pm",true,06/14/2019,"5:00 pm","5:00 pm"
06/16/2019,"3:30 pm","3:30 pm","Storm  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Seattle Storm",06/16/2019,"6:00 pm","6:00 pm",true,06/16/2019,"12:30 pm","12:30 pm"
06/21/2019,"7:30 pm","7:30 pm","Dream  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Atlanta Dream",06/21/2019,"10:00 pm","10:00 pm",true,06/21/2019,"4:30 pm","4:30 pm"
06/23/2019,"6:00 pm","6:00 pm","Sun  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Connecticut Sun",06/23/2019,"8:30 pm","8:30 pm",true,06/23/2019,"3:00 pm","3:00 pm"
06/26/2019,"8:00 pm","8:00 pm","Sun  @ Wings","College Park Center","Regular Season - Dallas Wings vs Connecticut Sun",06/26/2019,"10:30 pm","10:30 pm",true,06/26/2019,"5:00 pm","5:00 pm"
