"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/24/2019,"6:30 pm","7:30 pm","Wings  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Dallas Wings",05/24/2019,"9:00 pm","10:00 pm",true,05/24/2019,"3:30 pm","4:30 pm"
06/01/2019,"7:00 pm","8:00 pm","Lynx  @ Wings","College Park Center","Regular Season - Dallas Wings vs Minnesota Lynx",06/01/2019,"9:30 pm","10:30 pm",true,06/01/2019,"4:00 pm","5:00 pm"
06/07/2019,"6:00 pm","7:00 pm","Wings  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Dallas Wings",06/07/2019,"8:30 pm","9:30 pm",true,06/07/2019,"3:00 pm","4:00 pm"
06/09/2019,"2:00 pm","3:00 pm","Wings  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Dallas Wings",06/09/2019,"4:30 pm","5:30 pm",true,06/09/2019,"11:00 am","12:00 pm"
06/13/2019,"7:00 pm","8:00 pm","Fever  @ Wings","College Park Center","Regular Season - Dallas Wings vs Indiana Fever",06/13/2019,"9:30 pm","10:30 pm",true,06/13/2019,"4:00 pm","5:00 pm"
06/15/2019,"7:00 pm","8:00 pm","Dream  @ Wings","College Park Center","Regular Season - Dallas Wings vs Atlanta Dream",06/15/2019,"9:30 pm","10:30 pm",true,06/15/2019,"4:00 pm","5:00 pm"
06/20/2019,"7:00 pm","8:00 pm","Mercury  @ Wings","College Park Center","Regular Season - Dallas Wings vs Phoenix Mercury",06/20/2019,"9:30 pm","10:30 pm",true,06/20/2019,"4:00 pm","5:00 pm"
06/22/2019,"9:30 pm","10:30 pm","Wings  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Dallas Wings",06/22/2019,"12:00 am","1:00 am",true,06/22/2019,"6:30 pm","7:30 pm"
06/26/2019,"7:00 pm","8:00 pm","Sun  @ Wings","College Park Center","Regular Season - Dallas Wings vs Connecticut Sun",06/26/2019,"9:30 pm","10:30 pm",true,06/26/2019,"4:00 pm","5:00 pm"
06/28/2019,"6:30 pm","7:30 pm","Wings  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Dallas Wings",06/28/2019,"9:00 pm","10:00 pm",true,06/28/2019,"3:30 pm","4:30 pm"
06/30/2019,"3:00 pm","4:00 pm","Lynx  @ Wings","College Park Center","Regular Season - Dallas Wings vs Minnesota Lynx",06/30/2019,"5:30 pm","6:30 pm",true,06/30/2019,"12:00 pm","1:00 pm"
07/05/2019,"7:00 pm","8:00 pm","Fever  @ Wings","College Park Center","Regular Season - Dallas Wings vs Indiana Fever",07/05/2019,"9:30 pm","10:30 pm",true,07/05/2019,"4:00 pm","5:00 pm"
07/07/2019,"5:00 pm","6:00 pm","Wings  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Dallas Wings",07/07/2019,"7:30 pm","8:30 pm",true,07/07/2019,"2:00 pm","3:00 pm"
07/09/2019,"12:00 pm","1:00 pm","Sparks  @ Wings","College Park Center","Regular Season - Dallas Wings vs Los Angeles Sparks",07/09/2019,"2:30 pm","3:30 pm",true,07/09/2019,"9:00 am","10:00 am"
