"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/25/2019,"7:00 pm","8:00 pm","Sky  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Chicago Sky",05/25/2019,"9:30 pm","10:30 pm",true,05/25/2019,"4:00 pm","5:00 pm"
06/01/2019,"7:00 pm","8:00 pm","Storm  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Seattle Storm",06/01/2019,"9:30 pm","10:30 pm",true,06/01/2019,"4:00 pm","5:00 pm"
06/05/2019,"6:00 pm","7:00 pm","Sky  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Chicago Sky",06/05/2019,"8:30 pm","9:30 pm",true,06/05/2019,"3:00 pm","4:00 pm"
06/09/2019,"5:00 pm","6:00 pm","Storm  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Seattle Storm",06/09/2019,"7:30 pm","8:30 pm",true,06/09/2019,"2:00 pm","3:00 pm"
06/11/2019,"7:00 pm","8:00 pm","Mercury  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Phoenix Mercury",06/11/2019,"9:30 pm","10:30 pm",true,06/11/2019,"4:00 pm","5:00 pm"
06/15/2019,"6:00 pm","7:00 pm","Sky  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Chicago Sky",06/15/2019,"8:30 pm","9:30 pm",true,06/15/2019,"3:00 pm","4:00 pm"
06/19/2019,"6:00 pm","7:00 pm","Sky  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Chicago Sky",06/19/2019,"8:30 pm","9:30 pm",true,06/19/2019,"3:00 pm","4:00 pm"
06/21/2019,"7:00 pm","8:00 pm","Fever  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Indiana Fever",06/21/2019,"9:30 pm","10:30 pm",true,06/21/2019,"4:00 pm","5:00 pm"
06/23/2019,"5:00 pm","6:00 pm","Sun  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Connecticut Sun",06/23/2019,"7:30 pm","8:30 pm",true,06/23/2019,"2:00 pm","3:00 pm"
06/26/2019,"11:00 am","12:00 pm","Mystics  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Washington Mystics",06/26/2019,"1:30 pm","2:30 pm",true,06/26/2019,"8:00 am","9:00 am"
06/28/2019,"9:00 pm","10:00 pm","Sky  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Chicago Sky",06/28/2019,"11:30 pm","12:30 am",true,06/28/2019,"6:00 pm","7:00 pm"
06/30/2019,"4:00 pm","5:00 pm","Sky  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Chicago Sky",06/30/2019,"6:30 pm","7:30 pm",true,06/30/2019,"1:00 pm","2:00 pm"
07/02/2019,"2:00 pm","3:00 pm","Sky  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Chicago Sky",07/02/2019,"4:30 pm","5:30 pm",true,07/02/2019,"11:00 am","12:00 pm"
07/07/2019,"5:00 pm","6:00 pm","Wings  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Dallas Wings",07/07/2019,"7:30 pm","8:30 pm",true,07/07/2019,"2:00 pm","3:00 pm"
07/10/2019,"7:30 pm","8:30 pm","Lynx  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Minnesota Lynx",07/10/2019,"10:00 pm","11:00 pm",true,07/10/2019,"4:30 pm","5:30 pm"
07/12/2019,"7:00 pm","8:00 pm","Liberty  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs New York Liberty",07/12/2019,"9:30 pm","10:30 pm",true,07/12/2019,"4:00 pm","5:00 pm"
07/14/2019,"3:00 pm","4:00 pm","Sky  @ Wings","College Park Center","Regular Season - Dallas Wings vs Chicago Sky",07/14/2019,"5:30 pm","6:30 pm",true,07/14/2019,"12:00 pm","1:00 pm"
07/17/2019,"11:00 am","12:00 pm","Dream  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Atlanta Dream",07/17/2019,"1:30 pm","2:30 pm",true,07/17/2019,"8:00 am","9:00 am"
07/21/2019,"5:00 pm","6:00 pm","Fever  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Indiana Fever",07/21/2019,"7:30 pm","8:30 pm",true,07/21/2019,"2:00 pm","3:00 pm"
07/30/2019,"6:00 pm","7:00 pm","Sky  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Chicago Sky",07/30/2019,"8:30 pm","9:30 pm",true,07/30/2019,"3:00 pm","4:00 pm"
08/03/2019,"6:00 pm","7:00 pm","Sky  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Chicago Sky",08/03/2019,"8:30 pm","9:30 pm",true,08/03/2019,"3:00 pm","4:00 pm"
08/07/2019,"7:00 pm","8:00 pm","Liberty  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs New York Liberty",08/07/2019,"9:30 pm","10:30 pm",true,08/07/2019,"4:00 pm","5:00 pm"
08/09/2019,"9:30 pm","10:30 pm","Sky  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Chicago Sky",08/09/2019,"12:00 am","1:00 am",true,08/09/2019,"6:30 pm","7:30 pm"
08/11/2019,"4:00 pm","5:00 pm","Sky  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Chicago Sky",08/11/2019,"6:30 pm","7:30 pm",true,08/11/2019,"1:00 pm","2:00 pm"
08/16/2019,"7:00 pm","8:00 pm","Sparks  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Los Angeles Sparks",08/16/2019,"9:30 pm","10:30 pm",true,08/16/2019,"4:00 pm","5:00 pm"
08/18/2019,"5:00 pm","6:00 pm","Aces  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Las Vegas Aces",08/18/2019,"7:30 pm","8:30 pm",true,08/18/2019,"2:00 pm","3:00 pm"
08/20/2019,"6:00 pm","7:00 pm","Sky  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Chicago Sky",08/20/2019,"8:30 pm","9:30 pm",true,08/20/2019,"3:00 pm","4:00 pm"
08/23/2019,"7:00 pm","8:00 pm","Mystics  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Washington Mystics",08/23/2019,"9:30 pm","10:30 pm",true,08/23/2019,"4:00 pm","5:00 pm"
08/25/2019,"5:00 pm","6:00 pm","Sky  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Chicago Sky",08/25/2019,"7:30 pm","8:30 pm",true,08/25/2019,"2:00 pm","3:00 pm"
08/27/2019,"7:00 pm","8:00 pm","Sky  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Chicago Sky",08/27/2019,"9:30 pm","10:30 pm",true,08/27/2019,"4:00 pm","5:00 pm"
