"Start Date","Start Time","Start Time ET",Subject,Location,Description,"End Date","End Time","End Time ET","Reminder on/off","Reminder Date","Reminder Time","Reminde Time ET"
05/25/2019,"12:30 pm","3:30 pm","Mercury  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Phoenix Mercury",05/25/2019,"3:00 pm","6:00 pm",true,05/25/2019,"9:30 am","12:30 pm"
05/29/2019,"5:00 pm","8:00 pm","Storm  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Seattle Storm",05/29/2019,"7:30 pm","10:30 pm",true,05/29/2019,"2:00 pm","5:00 pm"
05/31/2019,"4:30 pm","7:30 pm","Storm  @ Dream","State Farm Arena","Regular Season - Atlanta Dream vs Seattle Storm",05/31/2019,"7:00 pm","10:00 pm",true,05/31/2019,"1:30 pm","4:30 pm"
06/01/2019,"5:00 pm","8:00 pm","Storm  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Seattle Storm",06/01/2019,"7:30 pm","10:30 pm",true,06/01/2019,"2:00 pm","5:00 pm"
06/04/2019,"7:00 pm","10:00 pm","Lynx  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Minnesota Lynx",06/04/2019,"9:30 pm","12:30 am",true,06/04/2019,"4:00 pm","7:00 pm"
06/09/2019,"3:00 pm","6:00 pm","Storm  @ Sky","Wintrust Arena","Regular Season - Chicago Sky vs Seattle Storm",06/09/2019,"5:30 pm","8:30 pm",true,06/09/2019,"12:00 pm","3:00 pm"
06/11/2019,"4:00 pm","7:00 pm","Storm  @ Fever","Bankers Life Fieldhouse","Regular Season - Indiana Fever vs Seattle Storm",06/11/2019,"6:30 pm","9:30 pm",true,06/11/2019,"1:00 pm","4:00 pm"
06/14/2019,"4:00 pm","7:00 pm","Storm  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Seattle Storm",06/14/2019,"6:30 pm","9:30 pm",true,06/14/2019,"1:00 pm","4:00 pm"
06/16/2019,"12:30 pm","3:30 pm","Storm  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Seattle Storm",06/16/2019,"3:00 pm","6:00 pm",true,06/16/2019,"9:30 am","12:30 pm"
06/21/2019,"7:00 pm","10:00 pm","Sparks  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Los Angeles Sparks",06/21/2019,"9:30 pm","12:30 am",true,06/21/2019,"4:00 pm","7:00 pm"
06/23/2019,"4:00 pm","7:00 pm","Fever  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Indiana Fever",06/23/2019,"6:30 pm","9:30 pm",true,06/23/2019,"1:00 pm","4:00 pm"
06/25/2019,"7:00 pm","10:00 pm","Storm  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Seattle Storm",06/25/2019,"9:30 pm","12:30 am",true,06/25/2019,"4:00 pm","7:00 pm"
06/28/2019,"7:00 pm","10:00 pm","Sky  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Chicago Sky",06/28/2019,"9:30 pm","12:30 am",true,06/28/2019,"4:00 pm","7:00 pm"
06/30/2019,"4:00 pm","7:00 pm","Mercury  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Phoenix Mercury",06/30/2019,"6:30 pm","9:30 pm",true,06/30/2019,"1:00 pm","4:00 pm"
07/03/2019,"12:00 pm","3:00 pm","Liberty  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs New York Liberty",07/03/2019,"2:30 pm","5:30 pm",true,07/03/2019,"9:00 am","12:00 pm"
07/05/2019,"7:00 pm","10:00 pm","Dream  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Atlanta Dream",07/05/2019,"9:30 pm","12:30 am",true,07/05/2019,"4:00 pm","7:00 pm"
07/12/2019,"7:00 pm","10:00 pm","Wings  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Dallas Wings",07/12/2019,"9:30 pm","12:30 am",true,07/12/2019,"4:00 pm","7:00 pm"
07/14/2019,"4:00 pm","7:00 pm","Liberty  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs New York Liberty",07/14/2019,"6:30 pm","9:30 pm",true,07/14/2019,"1:00 pm","4:00 pm"
07/17/2019,"5:00 pm","8:00 pm","Storm  @ Lynx","Target Center","Regular Season - Minnesota Lynx vs Seattle Storm",07/17/2019,"7:30 pm","10:30 pm",true,07/17/2019,"2:00 pm","5:00 pm"
07/19/2019,"7:00 pm","10:00 pm","Aces  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Las Vegas Aces",07/19/2019,"9:30 pm","12:30 am",true,07/19/2019,"4:00 pm","7:00 pm"
07/23/2019,"7:00 pm","10:00 pm","Storm  @ Aces","Mandalay Bay Events Center","Regular Season - Las Vegas Aces vs Seattle Storm",07/23/2019,"9:30 pm","12:30 am",true,07/23/2019,"4:00 pm","7:00 pm"
08/02/2019,"7:00 pm","10:00 pm","Mystics  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Washington Mystics",08/02/2019,"9:30 pm","12:30 am",true,08/02/2019,"4:00 pm","7:00 pm"
08/04/2019,"2:00 pm","5:00 pm","Storm  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Seattle Storm",08/04/2019,"4:30 pm","7:30 pm",true,08/04/2019,"11:00 am","2:00 pm"
08/08/2019,"7:00 pm","10:00 pm","Wings  @ Storm","Angel of the Winds Arena","Regular Season - Seattle Storm vs Dallas Wings",08/08/2019,"9:30 pm","12:30 am",true,08/08/2019,"4:00 pm","7:00 pm"
08/11/2019,"12:00 pm","3:00 pm","Storm  @ Liberty","Westchester County Center","Regular Season - New York Liberty vs Seattle Storm",08/11/2019,"2:30 pm","5:30 pm",true,08/11/2019,"9:00 am","12:00 pm"
08/14/2019,"5:00 pm","8:00 pm","Storm  @ Mystics","Entertainment and Sports Arena","Regular Season - Washington Mystics vs Seattle Storm",08/14/2019,"7:30 pm","10:30 pm",true,08/14/2019,"2:00 pm","5:00 pm"
08/16/2019,"4:30 pm","7:30 pm","Storm  @ Sun","Mohegan Sun Arena","Regular Season - Connecticut Sun vs Seattle Storm",08/16/2019,"7:00 pm","10:00 pm",true,08/16/2019,"1:30 pm","4:30 pm"
08/18/2019,"4:00 pm","7:00 pm","Lynx  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Minnesota Lynx",08/18/2019,"6:30 pm","9:30 pm",true,08/18/2019,"1:00 pm","4:00 pm"
08/25/2019,"4:00 pm","7:00 pm","Fever  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Indiana Fever",08/25/2019,"6:30 pm","9:30 pm",true,08/25/2019,"1:00 pm","4:00 pm"
08/27/2019,"7:00 pm","10:00 pm","Sun  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Connecticut Sun",08/27/2019,"9:30 pm","12:30 am",true,08/27/2019,"4:00 pm","7:00 pm"
09/01/2019,"4:00 pm","7:00 pm","Dream  @ Storm","Alaska Airlines Arena","Regular Season - Seattle Storm vs Atlanta Dream",09/01/2019,"6:30 pm","9:30 pm",true,09/01/2019,"1:00 pm","4:00 pm"
09/03/2019,"7:00 pm","10:00 pm","Storm  @ Mercury","Talking Stick Resort Arena","Regular Season - Phoenix Mercury vs Seattle Storm",09/03/2019,"9:30 pm","12:30 am",true,09/03/2019,"4:00 pm","7:00 pm"
09/05/2019,"7:30 pm","10:30 pm","Storm  @ Sparks","Staples Center","Regular Season - Los Angeles Sparks vs Seattle Storm",09/05/2019,"10:00 pm","1:00 am",true,09/05/2019,"4:30 pm","7:30 pm"
09/08/2019,"1:00 pm","4:00 pm","Storm  @ Wings","College Park Center","Regular Season - Dallas Wings vs Seattle Storm",09/08/2019,"3:30 pm","6:30 pm",true,09/08/2019,"10:00 am","1:00 pm"
